* target 200.0
* sigma 50.0
* threshold 0.3
* n_confs 20
* max_score 1.99
* population_size 20
* mating_pool_size 20
* generations 50
* mutation_rate 0.05
* average_size/size_stdev 50.0 5.0
* initial pool ZINC_1000_200.smi
* prune population True
* number of tries 40
* number of CPUs 40
* seeds 831598,688384,987697,281601,26693,495376,22391,972064,233016,673696,971897,911347,631156,330138,972372,270796,993754,12306,693554,104863,21178,447234,724339,850415,22325,759823,320249,64556,556044,672873,936043,168408,877409,28789,181632,205567,283526,426490,2388,565353,498379,227190,297789,740140,505570,320537,663199,521444,890928,165894,376043,460934,613462,699020,400627,374932,325882,121536,2332,585297,698835,419812,145389,98100,327988,985343,541559,567971,563170,677802,949711,884939,326800,333094,968581,337954,915686,723802,796648,385312
* 
run,score,smiles,generations,representation,prune
0,1.77,CNCCCN1N=NN(CN2N=NN(CCNC(C)=O)C2=O)C1=O,50,Graph,True
1,1.97,C=CC=CC(C)OCOC(C=CC=C)OC,50,Graph,True
2,1.94,CC=CC=CCCC(CCC=CC=CC)CCOCCCCCOCCCC,50,Graph,True
3,1.94,CC=CC=CCCCCCNCCCC=CC=CC,50,Graph,True
4,2.00,CCC=CC(C)CC=NOCCC,8,Graph,True
5,1.99,O=C(NCC=COC(=O)NCCCCC=COC(=O)NCC1CCCCC1)NC(=O)OC1C=CCCC1,25,Graph,True
6,2.00,C=CCc1nnc(CC)o1,2,Graph,True
7,1.94,CC=CC=CCCC(C)(CCC=CC=CC)CCCC,50,Graph,True
8,1.99,ClC1(C=CC2CCC2)CC1,16,Graph,True
9,1.89,FC=C(C=CCCCCCl)CCC1C=CCC=C1,50,Graph,True
10,1.93,CC=CC=CC,50,Graph,True
11,1.87,O=C(Cl)N/N=C/CCCNC(=O)CCCCN1C=CC=N1,50,Graph,True
12,1.95,C1=NC(C2=NNN=N2)=NN1,50,Graph,True
13,2.00,CC=COC(=O)OCC,45,Graph,True
14,1.99,C#CC=CCCC=C,37,Graph,True
15,2.00,CC=CCC=CCC=CCC,20,Graph,True
16,1.89,CC=CC(Cl)=CC,50,Graph,True
17,1.93,CCOCCOOCCOC(=O)C=CONF,50,Graph,True
18,1.87,C[C@@H]1C=CCC([C@@H]2CCC=C(C3=C[C@H]([C@H]4C=C(C5C[C@H](C6=CCCCC6)C=C[C@@H]5C5=C[C@H](C)CCC5)CCC4)CCC3)C2)=C1,50,Graph,True
19,1.99,CCCCC(c1n[nH]o1)C(CC)c1n[nH]o1,37,Graph,True
20,2.00,Cc1nnc(C)o1,10,Graph,True
21,1.93,C=C(C)C(=C)C,50,Graph,True
22,1.92,O=C1CC(C=CF)=CCO1,50,Graph,True
23,1.90,C=CC1=CC[C@@H](C)[C@H](C)C1,50,Graph,True
24,1.98,COC1=NOC(O)C1OC1C(OC)=NOC1O,50,Graph,True
25,1.94,C#CC1=CN=CN1C,50,Graph,True
26,1.76,C1=CCC(CC2=CN=C(CCC3=CCC=C(C4=CCC=CC4)C3)S2)=CC1,50,Graph,True
27,1.91,CC1=CC(CC2C=C(C)CC=C2C)C(C)=CC1,50,Graph,True
28,1.97,C=CC=CC(F)(OC)C(C)(OC)OC1(C2(OC)CC=CCC2)C=CCCC1,50,Graph,True
29,1.97,CC([C@@H]1C=CCO1)[C@@H]1C=CCO1,50,Graph,True
30,1.99,FC1=NN=CN1C1=NN=CN1F,50,Graph,True
31,1.97,C=CC=CCCCCCC=CCCCCCCCC=CC=C,50,Graph,True
32,1.97,CC1=NN=CN1C1=NN=CN1C,50,Graph,True
33,1.96,CCCc1cn([C@@H]2C=CCCO2)nc1[C@@H]1C=CCCO1,50,Graph,True
34,1.99,CC=C(C)C#N,13,Graph,True
35,1.93,CC=CC=CC,50,Graph,True
36,2.00,N#CC1=CCCC1,5,Graph,True
37,1.97,CCOS(=O)(=O)C1C=CCCC1,50,Graph,True
38,2.00,CC1CC=C(C#N)CC1,33,Graph,True
39,1.93,CC=CC=CC,50,Graph,True
